Reporting - Report PO | PIM;;;;;;;;;;;;;;;
Purchase Order No;Supplier Name;Order Date;Delivery Date;Item ID;Item Name;Item Description;Quantity Ordered;Quantity Delivered;Unit Price;Total Cost;Delivery Status;Defect Rate;Category Barang;Approval Time;Procurment Lead Time
0039/PO/CD/VIII/2023/CIC/MKES;ADE ABDILLAH - BOGOR;07-08-2023;30-08-2023;31398;NOMOR RUMAH / RUKO / TOKO;"Acrylic dasar hitam, Font putih, Uk 25X35 cm";"21,00";"21,00";85000;"1.785.000,00";Finish;0%;MEDIA INFORMASI;4 Hari;23 Hari
0039/PO/CD/X/2023/CIC/AIMP;Toko Pasific Elektronik -  Jonggol;13-10-2023;20-10-2023;30713;MOUSE;"Tipe M170, wireless";"1,00";"1,00";120000;"120.000,00";Finish;0%;KOMPUTER;2 Hari;7 Hari
0040/PO/CD/III/2023/CIC/CI;CV. SUKSES HUTAMA ELITE;09-03-2023;10-03-2023;30810;PITA / TINTA/ TONER PRINTER;16A;"2,00";"2,00";670000;"1.340.000,00";Finish;0%;KOMPUTER;1 Hari;1 Hari
0040/PO/CD/III/2023/CIC/CI;CV. SUKSES HUTAMA ELITE;09-03-2023;10-03-2023;30810;PITA / TINTA/ TONER PRINTER;35A;"4,00";"4,00";85000;"340.000,00";Finish;0%;KOMPUTER;1 Hari;1 Hari
0040/PO/CD/III/2023/CIC/CI;CV. SUKSES HUTAMA ELITE;09-03-2023;10-03-2023;30810;PITA / TINTA/ TONER PRINTER;TN2356;"15,00";"15,00";205000;"3.075.000,00";Finish;0%;KOMPUTER;1 Hari;1 Hari
0040/PO/CD/IV/2023/CIC/CIE;Bina Jaya Computer - Jakarta;10-04-2023;18-04-2023;30707;KEYBOARD;Keyboard Logitech USB;"1,00";"1,00";120000;"120.000,00";Finish;0%;KOMPUTER;2 Hari;8 Hari
0040/PO/CD/IV/2023/CIC/CIE;Bina Jaya Computer - Jakarta;10-04-2023;18-04-2023;30713;MOUSE;Mouse USB Logitec 100;"1,00";"1,00";75000;"75.000,00";Finish;0%;KOMPUTER;2 Hari;8 Hari
0040/PO/CD/X/2023/CIC/AIMP;PT. PLATBOARD LUTSINDO - Bekasi;17-10-2023;30-10-2023;31388;SPANDUK;"Bahan: flexi, Materi ""General"", Lokasi: Pohon Seribu, Uk: 33.08x2.08m";"1,00";"1,00";1548144;"1.548.144,00";Finish;0%;MEDIA INFORMASI;4 Hari;13 Hari
0040/PO/CD/X/2023/CIC/AIMP;PT. PLATBOARD LUTSINDO - Bekasi;17-10-2023;30-10-2023;31388;SPANDUK;"Bahan: flexi, Materi ""General"", Lokasi: Pohon Seribu, Uk: 115.08x2.08m";"1,00";"1,00";5385744;"5.385.744,00";Finish;0%;MEDIA INFORMASI;4 Hari;13 Hari
0041/PO/CD/III/2023/CIC/CI;CV. SUKSES HUTAMA ELITE;09-03-2023;;30810;PITA / TINTA/ TONER PRINTER;"Tinta 6644, warna kuning";"10,00";;45000;"450.000,00";Dalam Proses;100%;KOMPUTER;1 Hari;
0041/PO/CD/III/2023/CIC/CI;CV. SUKSES HUTAMA ELITE;09-03-2023;;30810;PITA / TINTA/ TONER PRINTER;"Tinta 003, warna cyan";"10,00";;70000;"700.000,00";Dalam Proses;100%;KOMPUTER;1 Hari;
0041/PO/CD/III/2023/CIC/CI;CV. SUKSES HUTAMA ELITE;09-03-2023;;30810;PITA / TINTA/ TONER PRINTER;"Tinta 003, warna hitam";"10,00";;70000;"700.000,00";Dalam Proses;100%;KOMPUTER;1 Hari;
0041/PO/CD/III/2023/CIC/CI;CV. SUKSES HUTAMA ELITE;09-03-2023;;30810;PITA / TINTA/ TONER PRINTER;"Tinta 003, warna kuning";"10,00";;70000;"700.000,00";Dalam Proses;100%;KOMPUTER;1 Hari;
0041/PO/CD/III/2023/CIC/CI;CV. SUKSES HUTAMA ELITE;09-03-2023;;30810;PITA / TINTA/ TONER PRINTER;TINTA EPSON 003 MAGENTA;"10,00";;70000;"700.000,00";Dalam Proses;100%;KOMPUTER;1 Hari;
0041/PO/CD/III/2023/CIC/CI;CV. SUKSES HUTAMA ELITE;09-03-2023;;30810;PITA / TINTA/ TONER PRINTER;"Tinta 6641, Warna hitam";"15,00";;45000;"675.000,00";Dalam Proses;100%;KOMPUTER;1 Hari;
0041/PO/CD/IV/2023/CIC/CIE;TOKO GS;10-04-2023;;31034;LEM PIPA;Kemasan 400gr;"2,00";;65000;"130.000,00";Dalam Proses;0%;MATERIAL KONSTRUKSI;2 Hari;
0041/PO/CD/VIII/2023/CIC/MKES;ADE ABDILLAH - BOGOR;07-08-2023;16-08-2023;31225;TUTUP SALURAN (DECK DRAIN/ GRILL INLET / DRAINAGE CELL/ ROOF DRAIN/ MAIN HOLE );"Tutup grill inlet, Uk : L 280mm,  T 400, Dusaspun";"1,00";"1,00";950000;"950.000,00";Finish;0%;MATERIAL KONSTRUKSI;6 Hari;9 Hari
0041/PO/CD/X/2023/CIC/AIMP;PT. PLATBOARD LUTSINDO - Bekasi;17-10-2023;17-10-2023;31370;BILLBOARD;"Bahan: flexi, Materi ""New permai ext"", Lokasi: Cileungsi, Uk: 5x10m";"1,00";"1,00";1625000;"1.625.000,00";Finish;0%;MEDIA INFORMASI;4 Hari;0 Hari
0041/PO/CD/X/2023/CIC/AIMP;PT. PLATBOARD LUTSINDO - Bekasi;17-10-2023;17-10-2023;31370;BILLBOARD;"Bahan: flexi, Materi ""New permai ext"", Lokasi: Cileungsi, Uk: 2x3m";"11,00";"11,00";385000;"4.235.000,00";Finish;0%;MEDIA INFORMASI;4 Hari;0 Hari
0042/PO/CD/III/2023/CIC/CI;Ace Hardware - Cibubur;10-03-2023;04-04-2023;31697;METERAN;"Self locking, Dilengkapi dengan tombol penarik, Dimensi : 2.5 cm x 7.5 meter";"5,00";"5,00";68000;"340.000,00";Finish;0%;PERALATAN KERJA LAPANGAN;1 Hari;25 Hari
0042/PO/CD/IV/2023/CIC/CIE;SAHABAT USAHA TEKNIK - BOGOR;14-04-2023;19-04-2023;30957;LAMPU;"TL, 36 watt, putih";"5,00";"5,00";25000;"125.000,00";Finish;0%;LISTRIK;2 Hari;5 Hari
0042/PO/CD/IV/2023/CIC/CIE;SAHABAT USAHA TEKNIK - BOGOR;14-04-2023;19-04-2023;30957;LAMPU;"Bohlam, 10 Watt, Putih";"20,00";"20,00";48000;"960.000,00";Finish;0%;LISTRIK;2 Hari;5 Hari
0042/PO/CD/VIII/2023/CIC/MKES;PT. RISTY PRATAMINDO - JAKARTA;08-08-2023;13-11-2023;31912;FLOWMETER;"Merk ABB, tipe: remote, power : battery, cable 10 mater, proterksi sensor & display IP68, Instalasi : up  & down stream 0xD, size code : 0100 - 100mm (4inch). Harga sudah termasuk biaya Tera dan penerbitan sertifikat Tera oleh dinas metrology terkait.";"1,00";"1,00";86700000;"86.700.000,00";Finish;0%;PERALATAN KERJA LAPANGAN;2 Hari;97 Hari
0042/PO/CD/X/2023/CIC/AIMP;Alvin Azizi - Tangerang;17-10-2023;01-11-2023;31388;SPANDUK;"Polyster sablon, Uk. 1,15x8 meter, materi : ""The real smart home""";"100,00";"100,00";68000;"6.800.000,00";Finish;0%;MEDIA INFORMASI;1 Hari;15 Hari
0043/PO/CD/III/2023/CIC/CI;PT. PLATBOARD LUTSINDO - Bekasi;10-03-2023;10-03-2023;31365;BANNER;"Bahan: Flexi, Uk. 60x290cm, materi: Bukit Meranti";"1,00";"1,00";39150;"39.150,00";Finish;0%;MEDIA INFORMASI;2 Hari;0 Hari
0043/PO/CD/III/2023/CIC/CI;PT. PLATBOARD LUTSINDO - Bekasi;10-03-2023;10-03-2023;31365;BANNER;"Bahan: Flexi, Uk. 60x290cm, materi: Ruko Matoa";"1,00";"1,00";39150;"39.150,00";Finish;0%;MEDIA INFORMASI;2 Hari;0 Hari
0043/PO/CD/III/2023/CIC/CI;PT. PLATBOARD LUTSINDO - Bekasi;10-03-2023;10-03-2023;31365;BANNER;"Bahan: Flexi, Uk. 90x396cm, materi: Bukit Meranti";"9,00";"9,00";80190;"721.710,00";Finish;0%;MEDIA INFORMASI;2 Hari;0 Hari
0043/PO/CD/III/2023/CIC/CI;PT. PLATBOARD LUTSINDO - Bekasi;10-03-2023;10-03-2023;31365;BANNER;"Bahan: Flexi, Uk. 90x396cm, materi: Ruko Matoa";"9,00";"9,00";80190;"721.710,00";Finish;0%;MEDIA INFORMASI;2 Hari;0 Hari
0043/PO/CD/IV/2023/CIC/CIE;PT. CAKRA REGLA MUNDIAL - CIMAHI;14-04-2023;;31326;SEAL POMPA;Uk. Flexibel 3/ F3;"60,00";;4500;"270.000,00";Dalam Proses;0%;MECHANICAL;1 Hari;
0043/PO/CD/VIII/2023/CIC/MKES;CV. Sanjaya - Bekasi;15-08-2023;29-08-2023;30049;KERTAS KOP;"HVS A4, 80gr, logo di kiri atas, alamat di kiri bawah";"50,00";"50,00";80000;"4.000.000,00";Finish;0%;ALAT TULIS KANTOR;6 Hari;14 Hari
0043/PO/CD/X/2023/CIC/AIMP;Toko Pasific Elektronik -  Jonggol;17-10-2023;24-10-2023;31458;AC SPLIT WALL;"Tipe 05AHQ, 1/2 PK";"2,00";"2,00";2300000;"4.600.000,00";Finish;0%;PENGOLAH UDARA - PENDINGIN;0 Hari;7 Hari
0044/PO/CD/III/2023/CIC/CI;Ace Hardware - Cibubur;10-03-2023;04-04-2023;30574;TEMPAT SAMPAH;"Kapasitas 120 Liter, Material :plastik, Dilengkapi pedal, roda dan tutup";"14,00";"14,00";509900;"7.138.600,00";Finish;0%;KEBERSIHAN;0 Hari;25 Hari
0044/PO/CD/IV/2023/CIC/CIE;FEBI DAMAYANTHI -  JAKARTA;16-04-2023;22-05-2023;30354;SEPATU LAPANGAN;"Warna coklat, tipe: KWD 205CX, Uk 42";"1,00";"1,00";445000;"445.000,00";Finish;0%;FASHION;1 Hari;36 Hari
0044/PO/CD/VIII/2023/CIC/MKES;Alvin Azizi - Tangerang;15-08-2023;02-09-2023;30514;UMBUL UMBUL;"Bahan polyester, Ukuran: 5 x 1,15 meter, Materi: Bukit Viola";"50,00";"50,00";42500;"2.125.000,00";Finish;0%;KARYA SENI - PENGHARGAAN -SIMBOL;6 Hari;18 Hari
0044/PO/CD/X/2023/CIC/AIMP;TOKO GS;24-10-2023;27-10-2023;31743;SELANG AIR;Ukuran 3/4 inch;"50,00";"50,00";10500;"525.000,00";Finish;0%;PERALATAN KERJA LAPANGAN;1 Hari;3 Hari
0045/PO/CD/III/2023/CIC/CI;ADE ABDILLAH - BOGOR;10-03-2023;10-04-2023;30574;TEMPAT SAMPAH;"Kapasitas 40liter, warna hijau, tiang tanam";"30,00";"30,00";250000;"7.500.000,00";Finish;0%;KEBERSIHAN;0 Hari;31 Hari
0045/PO/CD/IV/2023/CIC/CIE;TOKO GS;20-04-2023;12-05-2023;30957;LAMPU;8 Watt;"3,00";"3,00";30000;"90.000,00";Finish;0%;LISTRIK;1 Hari;22 Hari
0045/PO/CD/IV/2023/CIC/CIE;TOKO GS;20-04-2023;12-05-2023;30957;LAMPU;10 Watt;"5,00";"5,00";36000;"180.000,00";Finish;0%;LISTRIK;1 Hari;22 Hari
0045/PO/CD/IV/2023/CIC/CIE;TOKO GS;20-04-2023;12-05-2023;31032;LEM;Lem cair;"5,00";"5,00";8000;"40.000,00";Finish;0%;MATERIAL KONSTRUKSI;1 Hari;22 Hari
0045/PO/CD/IV/2023/CIC/CIE;TOKO GS;20-04-2023;12-05-2023;31035;LEM SEALANT;-;"2,00";"2,00";60000;"120.000,00";Finish;0%;MATERIAL KONSTRUKSI;1 Hari;22 Hari
0045/PO/CD/IV/2023/CIC/CIE;TOKO GS;20-04-2023;12-05-2023;30969;STATER LAMPU;-;"3,00";"3,00";5000;"15.000,00";Finish;0%;LISTRIK;1 Hari;22 Hari
0045/PO/CD/IV/2023/CIC/CIE;TOKO GS;20-04-2023;12-05-2023;31791;TALI TAMBANG;Ukuran: 6 mm;"1,00";"1,00";258000;"258.000,00";Finish;0%;RUPA - RUPA;1 Hari;22 Hari
0045/PO/CD/IV/2023/CIC/CIE;TOKO GS;20-04-2023;12-05-2023;31791;TALI TAMBANG;"Ukuran: 6 mm, Merk Nylon";"38,00";"38,00";4500;"171.000,00";Finish;0%;RUPA - RUPA;1 Hari;22 Hari
0045/PO/CD/VIII/2023/CIC/MKES;CV. Sanjaya - Bekasi;26-08-2023;;31379;BROSUR;"Cetak 2 muka, materi: bukit Viola, cetak A4 hitam putih";"1500,00";;200;"300.000,00";Dalam Proses;0%;MEDIA INFORMASI;20 Hari;
0045/PO/CD/X/2023/CIC/AIMP;PT.MITRA INTEGRASI INFORMATIKA - JAKARTA;29-10-2023;;30642;EMAIL;License O365 F3 email : ilham.shamdi@ciputra.com;"1,00";;595170;"595.170,00";Dalam Proses;0%;KOMPUTER;3 Hari;
0046/PO/CD/III/2023/CIC/CI;Dodi Kohanta - Jonggol;13-03-2023;24-03-2023;31052;BATU BELAH;-;"151,43";"151,43";275000;"41.643.250,00";Finish;0%;MATERIAL KONSTRUKSI;3 Hari;11 Hari
0046/PO/CD/IV/2023/CIC/CIE;Toko Buku Gunung Intan - Jonggol;20-04-2023;20-04-2023;30040;KERTAS A4;kerta a4 75gram;"66,00";"66,00";45000;"2.970.000,00";Finish;0%;ALAT TULIS KANTOR;5 Hari;0 Hari
0046/PO/CD/IX/2023/CIC/MKES;Toko Buku Gunung Intan - Jonggol;05-09-2023;;30129;TRAY STATIONERY;"Bahan : Besi, Warna Hitam";"1,00";;135000;"135.000,00";Dalam Proses;0%;ALAT TULIS KANTOR;8 Hari;
0046/PO/CD/X/2023/CIC/AIMP;Toko Pasific Elektronik -  Jonggol;29-10-2023;08-11-2023;31458;AC SPLIT WALL;"Tipe 05AHQ, 1/2 PK";"1,00";"1,00";2300000;"2.300.000,00";Finish;0%;PENGOLAH UDARA - PENDINGIN;3 Hari;10 Hari
0046/PO/CD/X/2023/CIC/AIMP;Toko Pasific Elektronik -  Jonggol;29-10-2023;08-11-2023;31458;AC SPLIT WALL;"Tipe 05AHQ, 1/2 PK";"1,00";"1,00";2300000;"2.300.000,00";Finish;0%;PENGOLAH UDARA - PENDINGIN;3 Hari;10 Hari
0046/PO/CD/X/2023/CIC/AIMP;Toko Pasific Elektronik -  Jonggol;29-10-2023;08-11-2023;31458;AC SPLIT WALL;"Tipe 05AHQ, 1/2 PK";"1,00";"1,00";2300000;"2.300.000,00";Finish;0%;PENGOLAH UDARA - PENDINGIN;3 Hari;10 Hari
0047/PO/CD/IV/2023/CIC/CIE;TOKO GS;20-04-2023;04-05-2023;31013;WATER MUR;Uk :  2 inch;"2,00";"2,00";95000;"190.000,00";Finish;0%;MATERIAL KONSTRUKSI;1 Hari;14 Hari
0047/PO/CD/IX/2023/CIC/MKES;FEBI DAMAYANTHI -  JAKARTA;15-09-2023;15-09-2023;30354;SEPATU LAPANGAN;"Warna coklat, tipe: KWD 205CX, Uk 42 & 41";"2,00";"2,00";470000;"940.000,00";Finish;0%;FASHION;1 Hari;0 Hari
0047/PO/CD/XI/2023/CIC/AIMP;PT. PLATBOARD LUTDESINDO;02-11-2023;02-12-2023;31370;BILLBOARD;"Bahan flexi, materi ""DREAM HOME, SMART HOME"", uk. 10x5 meter, lokasi taman cileungsi";"1,00";"1,00";1625000;"1.625.000,00";Finish;0%;MEDIA INFORMASI;2 Hari;30 Hari
0048/PO/CD/III/2023/CIC/CI;INDOMARET CIC;20-03-2023;18-04-2023;30983;MINUMAN KEMASAN;Kemasan 300 ml;"144,00";"144,00";3900;"561.600,00";Finish;0%;MAKANAN DAN MINUMAN;0 Hari;29 Hari
0048/PO/CD/IV/2023/CIC/CIE;TOKO GS;20-04-2023;27-04-2023;31223;SELANG FLEXIBLE;-;"3,00";"3,00";40000;"120.000,00";Finish;0%;MATERIAL KONSTRUKSI;3 Hari;7 Hari
0048/PO/CD/IX/2023/CIC/MKES;Toko Pasific Elektronik -  Jonggol;15-09-2023;26-09-2023;30699;BATERAI LAPTOP;"Utk Laptop HP PROBOOK 240 G6, Tipe : JC04, rechargeable battery";"1,00";"1,00";425000;"425.000,00";Finish;0%;KOMPUTER;1 Hari;11 Hari
0048/PO/CD/XI/2023/CIC/AIMP;PT MITRA INTEGRASI INFORMATIKA - JAKARTA;07-11-2023;;30642;EMAIL;License Email O365 F3 User :  randy.lesmana@ciputra.com;"1,00";;540788;"540.788,00";Dalam Proses;0%;KOMPUTER;0 Hari;
0049/PO/CD/III/2023/CIC/CI;CV. Sanjaya - Bekasi;20-03-2023;06-04-2023;31379;BROSUR;"Cetak 1 muka, A4 80gr, cetak hitam putih";"2500,00";"2500,00";150;"375.000,00";Finish;0%;MEDIA INFORMASI;1 Hari;17 Hari
0049/PO/CD/IV/2023/CIC/CIE;ADE ABDILLAH - BOGOR;20-04-2023;;31388;SPANDUK;"Uk : 1x5 meter, finishing : mata ikan, materi : promosi kolam arus";"2,00";;350000;"700.000,00";Dalam Proses;0%;MEDIA INFORMASI;0 Hari;
0049/PO/CD/IX/2023/CIC/MKES;BOURZU - TOKOPEDIA;21-09-2023;04-11-2023;30362;TAS;"Dimensi : 39x13x32cm, Bahan luar : Water repellent canvas + genuine leather (kulit asli) ; lining katun halus (bahan dalam) ; Cotton webbing + YKK Zipper";"3,00";"3,00";495000;"1.485.000,00";Finish;0%;FASHION;1 Hari;44 Hari
0049/PO/CD/XI/2023/CIC/AIMP;Alvin Azizi - Tangerang;16-11-2023;20-11-2023;31388;SPANDUK;"Polyster sablon, Uk. 1,15x8 meter, materi : ""Smart home 500 jutaan""";"100,00";"100,00";68000;"6.800.000,00";Finish;0%;MEDIA INFORMASI;3 Hari;4 Hari
0050/PO/CD/III/2023/CIC/CI;PT. PLATBOARD LUTDESINDO;20-03-2023;03-04-2023;31388;SPANDUK;"Bahan flexi, Ukuran 1,15x8 meter, materi ""segera proses balik nama sertifikasi""";"15,00";"15,00";207000;"3.105.000,00";Finish;0%;MEDIA INFORMASI;8 Hari;14 Hari
0050/PO/CD/IV/2023/CIC/CIE;Pinus Design - Cikarang;21-04-2023;15-05-2023;31822;CETAKAN LAIN;"Cetak warna, 1 sisi, A4 80gram, materi: Aplikasi my ciputra";"15,00";"15,00";125000;"1.875.000,00";Finish;0%;RUPA - RUPA;0 Hari;24 Hari
0050/PO/CD/IX/2023/CIC/MKES;Toko Pasific Elektronik -  Jonggol;21-09-2023;21-09-2023;30699;BATERAI LAPTOP;"Baterai Laptop Dell Inspiron 15, 3000 Series Dell 40 WH, tipe M5Y1K";"1,00";"1,00";550000;"550.000,00";Finish;0%;KOMPUTER;3 Hari;0 Hari
0050/PO/CD/XI/2023/CIC/AIMP;PT. PLATBOARD LUTDESINDO;20-11-2023;29-11-2023;31370;BILLBOARD;"Bahan flexi, Materi ""Rumah 2 lantai smart home"", Uk 9x7meter, Lokasi SPBU CIC";"1,00";"1,00";1917500;"1.917.500,00";Finish;0%;MEDIA INFORMASI;6 Hari;9 Hari
0051/PO/CD/III/2023/CIC/CI;Big Thumb - Jakarta;21-03-2023;10-04-2023;31379;BROSUR;"Lipat 3, Bahan: AC 210gsm, Laminating doft, Die cut";"2500,00";"2500,00";5000;"12.500.000,00";Finish;0%;MEDIA INFORMASI;1 Hari;20 Hari
0051/PO/CD/IV/2023/CIC/CIE;Bina Jaya Computer - Jakarta;28-04-2023;26-04-2023;30810;PITA / TINTA/ TONER PRINTER;TONER HP 107A Black Original;"10,00";"10,00";850000;"8.500.000,00";Finish;0%;KOMPUTER;2 Hari;2 Hari
0051/PO/CD/IX/2023/CIC/MKES;FEBI DAMAYANTHI -  JAKARTA;22-09-2023;;30335;BAJU ROMPI;"Warna: Merah, Uk: XL, Logo bendera merah putih & logo K3";"2,00";;185000;"370.000,00";Dalam Proses;0%;FASHION;2 Hari;
0051/PO/CD/XI/2023/CIC/AIMP;ABDUL ROHMAN - BOGOR;20-11-2023;22-11-2023;31114;KACA BENING;"pakai box, Ukuran : P 143cm, L 78cm, T 68cm";"1,00";"1,00";1500000;"1.500.000,00";Finish;0%;MATERIAL KONSTRUKSI;1 Hari;2 Hari
0052/PO/CD/III/2023/CIC/CI;Alvin Azizi - Tangerang;24-03-2023;08-04-2023;31388;SPANDUK;"Bahan Polyester, Ibadah Puasa "", Ukuran 115cmx800cm";"30,00";"30,00";68000;"2.040.000,00";Finish;0%;MEDIA INFORMASI;2 Hari;15 Hari
0052/PO/CD/III/2023/CIC/CI;Alvin Azizi - Tangerang;24-03-2023;08-04-2023;31388;SPANDUK;"Bahan Polyester, Idul Fitri "", Ukuran 115cmx800cm";"30,00";"30,00";68000;"2.040.000,00";Finish;0%;MEDIA INFORMASI;2 Hari;15 Hari
0052/PO/CD/III/2023/CIC/CI;Alvin Azizi - Tangerang;24-03-2023;08-04-2023;31388;SPANDUK;"Bahan Polyester, Materi "" Harga 236 "", Ukuran 115cmx800cm";"300,00";"300,00";68000;"20.400.000,00";Finish;0%;MEDIA INFORMASI;2 Hari;15 Hari
0052/PO/CD/V/2023/CIC/CIE;Bina Jaya Computer - Jakarta;05-05-2023;05-05-2023;30822;PRINTER THERMAL;"Printer utk kertas thermal, tipe TMT 82";"1,00";"1,00";2850000;"2.850.000,00";Finish;0%;KOMPUTER;2 Hari;0 Hari
0052/PO/CD/X/2023/CIC/MKES;CV. Harapan Mandiri -Bogor;03-10-2023;05-10-2023;30574;TEMPAT SAMPAH;"Warna hijau, kapasitas 60 liter, tiang tanam";"53,00";"53,00";340000;"18.020.000,00";Finish;0%;KEBERSIHAN;1 Hari;2 Hari
0053/PO/CD/III/2023/CIC/CI;Ace Hardware - Cibubur;24-03-2023;11-04-2023;30356;KACA MATA;"Lensa bening, jenis : spectacle, ukuran : all size";"5,00";"5,00";43900;"219.500,00";Finish;0%;FASHION;3 Hari;18 Hari
0053/PO/CD/X/2023/CIC/MKES;Bina Jaya Computer - Jakarta;05-10-2023;10-10-2023;30810;PITA / TINTA/ TONER PRINTER;728 Mate Black;"1,00";"1,00";1730000;"1.730.000,00";Finish;0%;KOMPUTER;1 Hari;5 Hari
0053/PO/CD/XI/2023/CIC/AIMP;PT. Sarana Kencana Mulya - Tangerang;28-11-2023;19-12-2023;31458;AC SPLIT WALL;"1/2 PK, Tipe : PAC 05VH";"1,00";"1,00";2164000;"2.164.000,00";Finish;0%;PENGOLAH UDARA - PENDINGIN;1 Hari;21 Hari
0054/PO/CD/III/2023/CIC/CI;Toko Pasific Elektronik -  Jonggol;24-03-2023;01-04-2023;30216;TELEVISI/TV LED;"Tipe PLD-24V1853, 24 Inch, digital TV, USB Play Movie";"1,00";"1,00";1325000;"1.325.000,00";Finish;0%;AUDIO DAN VISUAL;3 Hari;8 Hari
0054/PO/CD/V/2023/CIC/CIE;TOKO GS;09-05-2023;11-05-2023;31067;FITTING LAMPU;Fitting Lampu Plafond warna hitam;"2,00";"2,00";8000;"16.000,00";Finish;0%;MATERIAL KONSTRUKSI;0 Hari;2 Hari
0054/PO/CD/V/2023/CIC/CIE;TOKO GS;09-05-2023;11-05-2023;31186;HANDLE PINTU;Handle pintu plastik PVC warna putih;"6,00";"6,00";10000;"60.000,00";Finish;0%;MATERIAL KONSTRUKSI;0 Hari;2 Hari
0054/PO/CD/V/2023/CIC/CIE;TOKO GS;09-05-2023;11-05-2023;30907;KABEL NYM;Kabel NYM 2 X 1.5 M;"15,00";"15,00";9500;"142.500,00";Finish;0%;LISTRIK;0 Hari;2 Hari
0054/PO/CD/V/2023/CIC/CIE;TOKO GS;09-05-2023;11-05-2023;31124;KAWAT DURI;-;"1,00";"1,00";165000;"165.000,00";Finish;0%;MATERIAL KONSTRUKSI;0 Hari;2 Hari
0054/PO/CD/V/2023/CIC/CIE;TOKO GS;09-05-2023;11-05-2023;31125;KAWAT PUTIH;Kawat bendrat putih halus;"1,00";"1,00";35000;"35.000,00";Finish;0%;MATERIAL KONSTRUKSI;0 Hari;2 Hari
0054/PO/CD/V/2023/CIC/CIE;TOKO GS;09-05-2023;11-05-2023;30957;LAMPU;LED  8 Watt;"1,00";"1,00";45000;"45.000,00";Finish;0%;LISTRIK;0 Hari;2 Hari
0054/PO/CD/V/2023/CIC/CIE;TOKO GS;09-05-2023;11-05-2023;30957;LAMPU;LED 10 Watt;"2,00";"2,00";36000;"72.000,00";Finish;0%;LISTRIK;0 Hari;2 Hari
0054/PO/CD/V/2023/CIC/CIE;TOKO GS;09-05-2023;11-05-2023;30957;LAMPU;LED  15 watt;"2,00";"2,00";50000;"100.000,00";Finish;0%;LISTRIK;0 Hari;2 Hari
0054/PO/CD/V/2023/CIC/CIE;TOKO GS;09-05-2023;11-05-2023;30957;LAMPU;LED 22 Watt;"2,00";"2,00";75000;"150.000,00";Finish;0%;LISTRIK;0 Hari;2 Hari
0054/PO/CD/V/2023/CIC/CIE;TOKO GS;09-05-2023;11-05-2023;30889;STOP KONTAK;Stop kontak lobang 1 ( satu ) Inbow;"2,00";"2,00";22000;"44.000,00";Finish;0%;LISTRIK;0 Hari;2 Hari
0054/PO/CD/V/2023/CIC/CIE;TOKO GS;09-05-2023;11-05-2023;31878;STOP KRAN;Kran tembok 1/2 inch;"2,00";"2,00";40000;"80.000,00";Finish;0%;SANITAIR DAN KAMAR MANDI;0 Hari;2 Hari
0054/PO/CD/V/2023/CIC/CIE;TOKO GS;09-05-2023;11-05-2023;31652;TANG;Tang kakatua pincer 9 inch;"1,00";"1,00";40000;"40.000,00";Finish;0%;PERALATAN KERJA LAPANGAN;0 Hari;2 Hari
0054/PO/CD/X/2023/CIC/MKES;CV. Harapan Mandiri -Bogor;13-10-2023;03-11-2023;30574;TEMPAT SAMPAH;"Warna hijau, kapasitas 60 liter, tiang tanam";"2,00";"2,00";340000;"680.000,00";Finish;0%;KEBERSIHAN;3 Hari;21 Hari
0054/PO/CD/XI/2023/CIC/AIMP;PT. PLATBOARD LUTDESINDO;29-11-2023;05-12-2023;31365;BANNER;"Bahan : flexi, Uk 0,6x2,9 meter, materi : Permai";"10,00";"10,00";39150;"391.500,00";Finish;0%;MEDIA INFORMASI;8 Hari;6 Hari
0055/PO/CD/III/2023/CIC/CI;ADIKARYA INTISOLUSI PT;24-03-2023;15-04-2023;30668;LAPTOP/ NOTEBOOK;"NOTEBOOK DELL INSPIRON 14-5410 Intel Core i7-1165G7 Up 4,7 Ghz 12MB Smart Chace";"1,00";"1,00";14864865;"14.864.865,00";Finish;0%;KOMPUTER;3 Hari;22 Hari
0055/PO/CD/V/2023/CIC/CIE;TOKO GS;09-05-2023;19-05-2023;31032;LEM;Lem tetes;"10,00";"10,00";8000;"80.000,00";Finish;0%;MATERIAL KONSTRUKSI;2 Hari;10 Hari
0055/PO/CD/V/2023/CIC/CIE;TOKO GS;09-05-2023;19-05-2023;31032;LEM;Lem padat;"10,00";"10,00";15000;"150.000,00";Finish;0%;MATERIAL KONSTRUKSI;2 Hari;10 Hari
0055/PO/CD/V/2023/CIC/CIE;TOKO GS;09-05-2023;19-05-2023;31035;LEM SEALANT;-;"5,00";"5,00";60000;"300.000,00";Finish;0%;MATERIAL KONSTRUKSI;2 Hari;10 Hari
0055/PO/CD/X/2023/CIC/MKES;Toko Pasific Elektronik -  Jonggol;17-10-2023;13-11-2023;31453;AC INVERTER;"Tipe 05AHQ, 1/2 PK";"2,00";"2,00";2300000;"4.600.000,00";Finish;0%;PENGOLAH UDARA - PENDINGIN;1 Hari;27 Hari
0055/PO/CD/XI/2023/CIC/AIMP;PT. PLATBOARD LUTDESINDO;29-11-2023;05-12-2023;31365;BANNER;"Bahan : flexi, Uk 0,6x2,9 meter, materi : Permai, lokasi : depan MO";"1,00";"1,00";39150;"39.150,00";Finish;0%;MEDIA INFORMASI;8 Hari;6 Hari
